game_pk,game_date,game_type,season,away_team,away_team_id,home_team,home_team_id,venue,status
745860,2024-09-09,R,2024,Los Angeles Angels,108,Minnesota Twins,142,Target Field,Final
746746,2024-09-09,R,2024,Cleveland Guardians,114,Chicago White Sox,145,Guaranteed Rate Field,Final
746101,2024-09-09,R,2024,Chicago Cubs,112,Los Angeles Dodgers,119,Dodger Stadium,Final
746428,2024-09-10,R,2024,Colorado Rockies,115,Detroit Tigers,116,Comerica Park,Final
745535,2024-09-10,R,2024,Tampa Bay Rays,139,Philadelphia Phillies,143,Citizens Bank Park,Final
745446,2024-09-10,R,2024,Miami Marlins,146,Pittsburgh Pirates,134,PNC Park,Final
744807,2024-09-10,R,2024,Atlanta Braves,144,Washington Nationals,120,Nationals Park,Final
745694,2024-09-10,R,2024,Kansas City Royals,118,New York Yankees,147,Yankee Stadium,Final
744886,2024-09-10,R,2024,New York Mets,121,Toronto Blue Jays,141,Rogers Centre,Final
746907,2024-09-10,R,2024,Baltimore Orioles,110,Boston Red Sox,111,Fenway Park,Final
745856,2024-09-10,R,2024,Los Angeles Angels,108,Minnesota Twins,142,Target Field,Final
746747,2024-09-10,R,2024,Cleveland Guardians,114,Chicago White Sox,145,Guaranteed Rate Field,Final
745126,2024-09-10,R,2024,Cincinnati Reds,113,St. Louis Cardinals,138,Busch Stadium,Final
746346,2024-09-10,R,2024,Oakland Athletics,133,Houston Astros,117,Minute Maid Park,Final
745210,2024-09-10,R,2024,San Diego Padres,135,Seattle Mariners,136,T-Mobile Park,Final
747152,2024-09-10,R,2024,Texas Rangers,140,Arizona Diamondbacks,109,Chase Field,Final
745291,2024-09-10,R,2024,Milwaukee Brewers,158,San Francisco Giants,137,Oracle Park,Final
746097,2024-09-10,R,2024,Chicago Cubs,112,Los Angeles Dodgers,119,Dodger Stadium,Final
745450,2024-09-11,R,2024,Miami Marlins,146,Pittsburgh Pirates,134,PNC Park,Final
746745,2024-09-11,R,2024,Cleveland Guardians,114,Chicago White Sox,145,Guaranteed Rate Field,Final
744881,2024-09-11,R,2024,New York Mets,121,Toronto Blue Jays,141,Rogers Centre,Final
747154,2024-09-11,R,2024,Texas Rangers,140,Arizona Diamondbacks,109,Chase Field,Final
746425,2024-09-11,R,2024,Colorado Rockies,115,Detroit Tigers,116,Comerica Park,Final
745525,2024-09-11,R,2024,Tampa Bay Rays,139,Philadelphia Phillies,143,Citizens Bank Park,Final
744804,2024-09-11,R,2024,Atlanta Braves,144,Washington Nationals,120,Nationals Park,Final
745697,2024-09-11,R,2024,Kansas City Royals,118,New York Yankees,147,Yankee Stadium,Final
746908,2024-09-11,R,2024,Baltimore Orioles,110,Boston Red Sox,111,Fenway Park,Final
745857,2024-09-11,R,2024,Los Angeles Angels,108,Minnesota Twins,142,Target Field,Final
745127,2024-09-11,R,2024,Cincinnati Reds,113,St. Louis Cardinals,138,Busch Stadium,Final
746342,2024-09-11,R,2024,Oakland Athletics,133,Houston Astros,117,Minute Maid Park,Final
745214,2024-09-11,R,2024,San Diego Padres,135,Seattle Mariners,136,T-Mobile Park,Final
745285,2024-09-11,R,2024,Milwaukee Brewers,158,San Francisco Giants,137,Oracle Park,Final
746100,2024-09-11,R,2024,Chicago Cubs,112,Los Angeles Dodgers,119,Dodger Stadium,Final
746427,2024-09-12,R,2024,Colorado Rockies,115,Detroit Tigers,116,Comerica Park,Final
745129,2024-09-12,R,2024,Cincinnati Reds,113,St. Louis Cardinals,138,Busch Stadium,Final
746337,2024-09-12,R,2024,Oakland Athletics,133,Houston Astros,117,Minute Maid Park,Final
744805,2024-09-12,R,2024,Miami Marlins,146,Washington Nationals,120,Nationals Park,Final
746591,2024-09-12,R,2024,Tampa Bay Rays,139,Cleveland Guardians,114,Progressive Field,Final
745695,2024-09-12,R,2024,Boston Red Sox,111,New York Yankees,147,Yankee Stadium,Final
745208,2024-09-12,R,2024,Texas Rangers,140,Seattle Mariners,136,T-Mobile Park,Final
745288,2024-09-12,R,2024,Milwaukee Brewers,158,San Francisco Giants,137,Oracle Park,Final
746423,2024-09-13,R,2024,Baltimore Orioles,110,Detroit Tigers,116,Comerica Park,Final
745447,2024-09-13,R,2024,Kansas City Royals,118,Pittsburgh Pirates,134,PNC Park,Final
745529,2024-09-13,R,2024,New York Mets,121,Philadelphia Phillies,143,Citizens Bank Park,Final
744800,2024-09-13,R,2024,Miami Marlins,146,Washington Nationals,120,Nationals Park,Final
745696,2024-09-13,R,2024,Boston Red Sox,111,New York Yankees,147,Yankee Stadium,Final
744882,2024-09-13,R,2024,St. Louis Cardinals,138,Toronto Blue Jays,141,Rogers Centre,Final
746586,2024-09-13,R,2024,Tampa Bay Rays,139,Cleveland Guardians,114,Progressive Field,Final
747069,2024-09-13,R,2024,Los Angeles Dodgers,119,Atlanta Braves,144,Truist Park,Final
746744,2024-09-13,R,2024,Oakland Athletics,133,Chicago White Sox,145,Guaranteed Rate Field,Final
745855,2024-09-13,R,2024,Cincinnati Reds,113,Minnesota Twins,142,Target Field,Final
746509,2024-09-13,R,2024,Chicago Cubs,112,Colorado Rockies,115,Coors Field,Final
746181,2024-09-13,R,2024,Houston Astros,117,Los Angeles Angels,108,Angel Stadium,Final
747153,2024-09-13,R,2024,Milwaukee Brewers,158,Arizona Diamondbacks,109,Chase Field,Final
745207,2024-09-13,R,2024,Texas Rangers,140,Seattle Mariners,136,T-Mobile Park,Final
745286,2024-09-13,R,2024,San Diego Padres,135,San Francisco Giants,137,Oracle Park,Final
745448,2024-09-14,R,2024,Kansas City Royals,118,Pittsburgh Pirates,134,PNC Park,Final
745689,2024-09-14,R,2024,Boston Red Sox,111,New York Yankees,147,Yankee Stadium,Final
744884,2024-09-14,R,2024,St. Louis Cardinals,138,Toronto Blue Jays,141,Rogers Centre,Final
745528,2024-09-14,R,2024,New York Mets,121,Philadelphia Phillies,143,Citizens Bank Park,Final
744803,2024-09-14,R,2024,Miami Marlins,146,Washington Nationals,120,Nationals Park,Final
746422,2024-09-14,R,2024,Baltimore Orioles,110,Detroit Tigers,116,Comerica Park,Final
746584,2024-09-14,R,2024,Tampa Bay Rays,139,Cleveland Guardians,114,Progressive Field,Final
745858,2024-09-14,R,2024,Cincinnati Reds,113,Minnesota Twins,142,Target Field,Final
746740,2024-09-14,R,2024,Oakland Athletics,133,Chicago White Sox,145,Guaranteed Rate Field,Final
747070,2024-09-14,R,2024,Los Angeles Dodgers,119,Atlanta Braves,144,Truist Park,Final
746508,2024-09-14,R,2024,Chicago Cubs,112,Colorado Rockies,115,Coors Field,Final
747148,2024-09-14,R,2024,Milwaukee Brewers,158,Arizona Diamondbacks,109,Chase Field,Final
745284,2024-09-14,R,2024,San Diego Padres,135,San Francisco Giants,137,Oracle Park,Final
746177,2024-09-14,R,2024,Houston Astros,117,Los Angeles Angels,108,Angel Stadium,Final
745209,2024-09-14,R,2024,Texas Rangers,140,Seattle Mariners,136,T-Mobile Park,Final
746419,2024-09-15,R,2024,Baltimore Orioles,110,Detroit Tigers,116,Comerica Park,Final
745852,2024-09-15,R,2024,Cincinnati Reds,113,Minnesota Twins,142,Target Field,Final
745449,2024-09-15,R,2024,Kansas City Royals,118,Pittsburgh Pirates,134,PNC Park,Final
745530,2024-09-15,R,2024,New York Mets,121,Philadelphia Phillies,143,Citizens Bank Park,Final
744801,2024-09-15,R,2024,Miami Marlins,146,Washington Nationals,120,Nationals Park,Final
745693,2024-09-15,R,2024,Boston Red Sox,111,New York Yankees,147,Yankee Stadium,Final
744883,2024-09-15,R,2024,St. Louis Cardinals,138,Toronto Blue Jays,141,Rogers Centre,Final
746585,2024-09-15,R,2024,Tampa Bay Rays,139,Cleveland Guardians,114,Progressive Field,Final
746741,2024-09-15,R,2024,Oakland Athletics,133,Chicago White Sox,145,Guaranteed Rate Field,Final
746506,2024-09-15,R,2024,Chicago Cubs,112,Colorado Rockies,115,Coors Field,Final
745287,2024-09-15,R,2024,San Diego Padres,135,San Francisco Giants,137,Oracle Park,Final
746180,2024-09-15,R,2024,Houston Astros,117,Los Angeles Angels,108,Angel Stadium,Final
745206,2024-09-15,R,2024,Texas Rangers,140,Seattle Mariners,136,T-Mobile Park,Final
747151,2024-09-15,R,2024,Milwaukee Brewers,158,Arizona Diamondbacks,109,Chase Field,Final
747071,2024-09-15,R,2024,Los Angeles Dodgers,119,Atlanta Braves,144,Truist Park,Final
746588,2024-09-16,R,2024,Minnesota Twins,142,Cleveland Guardians,114,Progressive Field,Final
745773,2024-09-16,R,2024,Washington Nationals,120,New York Mets,121,Citi Field,Final
747067,2024-09-16,R,2024,Los Angeles Dodgers,119,Atlanta Braves,144,Truist Park,Final
746260,2024-09-16,R,2024,Detroit Tigers,116,Kansas City Royals,118,Kauffman Stadium,Final
746828,2024-09-16,R,2024,Oakland Athletics,133,Chicago Cubs,112,Wrigley Field,Final
745939,2024-09-16,R,2024,Philadelphia Phillies,143,Milwaukee Brewers,158,American Family Field,Final
745130,2024-09-16,R,2024,Pittsburgh Pirates,134,St. Louis Cardinals,138,Busch Stadium,Final
746502,2024-09-16,R,2024,Arizona Diamondbacks,109,Colorado Rockies,115,Coors Field,Final
746179,2024-09-16,R,2024,Chicago White Sox,145,Los Angeles Angels,108,Angel Stadium,Final
745367,2024-09-16,R,2024,Houston Astros,117,San Diego Padres,135,Petco Park,Final
746987,2024-09-17,R,2024,San Francisco Giants,137,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
746587,2024-09-17,R,2024,Minnesota Twins,142,Cleveland Guardians,114,Progressive Field,Final
746659,2024-09-17,R,2024,Atlanta Braves,144,Cincinnati Reds,113,Great American Ball Park,Final
746015,2024-09-17,R,2024,Los Angeles Dodgers,119,Miami Marlins,146,loanDepot park,Final
745044,2024-09-17,R,2024,Boston Red Sox,111,Tampa Bay Rays,139,Tropicana Field,Final
745772,2024-09-17,R,2024,Washington Nationals,120,New York Mets,121,Citi Field,Final
746261,2024-09-17,R,2024,Detroit Tigers,116,Kansas City Royals,118,Kauffman Stadium,Final
746830,2024-09-17,R,2024,Oakland Athletics,133,Chicago Cubs,112,Wrigley Field,Final
